epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,3959.09,1.1609,0.781,1.51143,0.00558,0.89985,0.8428,0.92077,0.59325,1.18169,0.76173,1.48047,0.00167,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,4094.96,1.17407,0.7825,1.52131,0.00553,0.88885,0.8557,0.91778,0.61663,1.11228,0.74883,1.48762,0.00168,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,4230.71,1.13308,0.76595,1.5061,0.00541,0.88992,0.85601,0.92151,0.65244,0.99204,0.71622,1.45222,0.00104,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,4368.73,1.14281,0.75923,1.49189,0.00519,0.89814,0.86658,0.92303,0.57564,1.30905,0.78229,1.40342,0.00188,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,4505.19,1.1422,0.77247,1.48107,0.00579,0.90281,0.85337,0.92195,0.64941,1.0098,0.72242,1.42303,0.00104,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,4642.16,1.13004,0.7635,1.48776,0.0061,0.88826,0.86106,0.92294,0.65063,1.00844,0.71197,1.41933,0.00093,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,4780.79,1.12524,0.7594,1.469,0.00563,0.90102,0.85865,0.92451,0.64472,1.03931,0.72016,1.39504,0.00111,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,4920.1,1.08758,0.74112,1.45214,0.00508,0.91278,0.84016,0.92141,0.65824,0.98111,0.69333,1.39822,0.00098,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,5058.65,1.07303,0.73213,1.44847,0.00498,0.88764,0.86394,0.92351,0.64983,0.97979,0.71192,1.38256,0.00094,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,5194.83,1.08115,0.73307,1.45187,0.00527,0.89358,0.85997,0.92915,0.66723,0.94848,0.70631,1.37917,0.00092,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
