thr,nms_iou,min_aspect,nms_method,tp,fp,fn,precision,recall,f1
0.4,0.45,3.0,hard,765,144,290,0.8416,0.7251,0.779
0.4,0.45,3.0,soft,793,3049,262,0.2064,0.7517,0.3239
0.4,0.5,2.0,hard,782,170,273,0.8214,0.7412,0.7793
0.4,0.5,2.0,soft,799,3176,256,0.201,0.7573,0.3177
0.4,0.5,2.5,hard,782,162,273,0.8284,0.7412,0.7824
0.4,0.5,2.5,soft,798,3148,257,0.2022,0.7564,0.3191
0.4,0.5,3.0,hard,771,147,284,0.8399,0.7308,0.7816
0.4,0.5,3.0,soft,793,3049,262,0.2064,0.7517,0.3239
0.4,0.55,2.0,hard,782,185,273,0.8087,0.7412,0.7735
0.4,0.55,2.0,soft,799,3176,256,0.201,0.7573,0.3177
0.4,0.55,2.5,hard,782,176,273,0.8163,0.7412,0.7769
0.4,0.55,2.5,soft,798,3148,257,0.2022,0.7564,0.3191
0.4,0.55,3.0,hard,771,160,284,0.8281,0.7308,0.7764
0.4,0.55,3.0,soft,793,3049,262,0.2064,0.7517,0.3239
0.45,0.35,2.0,hard,770,137,285,0.849,0.7299,0.7849
0.45,0.35,2.0,soft,793,3035,262,0.2072,0.7517,0.3248
0.45,0.35,2.5,hard,770,129,285,0.8565,0.7299,0.7881
0.45,0.35,2.5,soft,792,3009,263,0.2084,0.7507,0.3262
0.45,0.35,3.0,hard,759,114,296,0.8694,0.7194,0.7873
0.45,0.35,3.0,soft,786,2911,269,0.2126,0.745,0.3308
0.45,0.4,2.0,hard,770,140,285,0.8462,0.7299,0.7837
0.45,0.4,2.0,soft,793,3035,262,0.2072,0.7517,0.3248
0.45,0.4,2.5,hard,770,132,285,0.8537,0.7299,0.7869
0.45,0.4,2.5,soft,792,3009,263,0.2084,0.7507,0.3262
0.45,0.4,3.0,hard,759,117,296,0.8664,0.7194,0.7861
0.45,0.4,3.0,soft,786,2911,269,0.2126,0.745,0.3308
0.45,0.45,2.0,hard,771,149,284,0.838,0.7308,0.7808
0.45,0.45,2.0,soft,793,3035,262,0.2072,0.7517,0.3248
0.45,0.45,2.5,hard,771,141,284,0.8454,0.7308,0.7839
0.45,0.45,2.5,soft,792,3009,263,0.2084,0.7507,0.3262
0.45,0.45,3.0,hard,760,126,295,0.8578,0.7204,0.7831
0.45,0.45,3.0,soft,786,2911,269,0.2126,0.745,0.3308
0.45,0.5,2.0,hard,775,151,280,0.8369,0.7346,0.7824
0.45,0.5,2.0,soft,793,3035,262,0.2072,0.7517,0.3248
0.45,0.5,2.5,hard,775,143,280,0.8442,0.7346,0.7856
0.45,0.5,2.5,soft,792,3009,263,0.2084,0.7507,0.3262
0.45,0.5,3.0,hard,764,128,291,0.8565,0.7242,0.7848
0.45,0.5,3.0,soft,786,2911,269,0.2126,0.745,0.3308
0.45,0.55,2.0,hard,776,159,279,0.8299,0.7355,0.7799
0.45,0.55,2.0,soft,793,3035,262,0.2072,0.7517,0.3248
0.45,0.55,2.5,hard,776,150,279,0.838,0.7355,0.7834
0.45,0.55,2.5,soft,792,3009,263,0.2084,0.7507,0.3262
0.45,0.55,3.0,hard,765,134,290,0.8509,0.7251,0.783
0.45,0.55,3.0,soft,786,2911,269,0.2126,0.745,0.3308
0.5,0.35,2.0,hard,759,120,296,0.8635,0.7194,0.7849
0.5,0.35,2.0,soft,781,2906,274,0.2118,0.7403,0.3294
0.5,0.35,2.5,hard,759,114,296,0.8694,0.7194,0.7873
0.5,0.35,2.5,soft,780,2882,275,0.213,0.7393,0.3307
0.5,0.35,3.0,hard,748,99,307,0.8831,0.709,0.7865
0.5,0.35,3.0,soft,774,2785,281,0.2175,0.7336,0.3355
0.5,0.4,2.0,hard,759,121,296,0.8625,0.7194,0.7845
0.5,0.4,2.0,soft,781,2906,274,0.2118,0.7403,0.3294
0.5,0.4,2.5,hard,759,115,296,0.8684,0.7194,0.7869
0.5,0.4,2.5,soft,780,2882,275,0.213,0.7393,0.3307
0.5,0.4,3.0,hard,748,100,307,0.8821,0.709,0.7861
0.5,0.4,3.0,soft,774,2785,281,0.2175,0.7336,0.3355
0.5,0.45,2.0,hard,760,129,295,0.8549,0.7204,0.7819
0.5,0.45,2.0,soft,781,2906,274,0.2118,0.7403,0.3294
0.5,0.45,2.5,hard,760,123,295,0.8607,0.7204,0.7843
0.5,0.45,2.5,soft,780,2882,275,0.213,0.7393,0.3307
0.5,0.45,3.0,hard,749,108,306,0.874,0.71,0.7835
0.5,0.45,3.0,soft,774,2785,281,0.2175,0.7336,0.3355
0.5,0.5,2.0,hard,764,131,291,0.8536,0.7242,0.7836
0.5,0.5,2.0,soft,781,2906,274,0.2118,0.7403,0.3294
0.5,0.5,2.5,hard,764,125,291,0.8594,0.7242,0.786
0.5,0.5,2.5,soft,780,2882,275,0.213,0.7393,0.3307
0.5,0.5,3.0,hard,753,110,302,0.8725,0.7137,0.7852
0.5,0.5,3.0,soft,774,2785,281,0.2175,0.7336,0.3355
0.5,0.55,2.0,hard,765,138,290,0.8472,0.7251,0.7814
0.5,0.55,2.0,soft,781,2906,274,0.2118,0.7403,0.3294
